2026-03-06 15:32:44,652 | INFO | Computing process metrics...
2026-03-06 15:32:44,861 | INFO | Metrics saved: outputs\run\process_metrics.csv
2026-03-06 15:32:45,006 | INFO | PageRank chart saved: outputs\run\activity_pagerank_chart.png
2026-03-06 15:32:45,006 | INFO | Exporting process transitions...
2026-03-06 15:32:45,008 | INFO | Transitions saved: outputs\run\process_transitions.csv
2026-03-06 15:32:45,008 | INFO | Computing top process traces...
2026-03-06 15:32:45,769 | INFO | Top traces saved: outputs\run\top_traces.csv
2026-03-06 15:32:45,769 | INFO | Most common trace: First Notification of Loss (FNOL) -> Assign Claim -> Claim Decision -> Set Reserve -> Payment Sent -> Close Claim
2026-03-06 15:32:45,769 | INFO | Trace frequency: 29265
2026-03-06 15:32:45,769 | INFO | Drawing process graph...
2026-03-06 15:32:46,645 | INFO | Process graph saved
2026-03-06 15:32:46,645 | INFO | Building handover social network...
2026-03-06 15:32:58,503 | INFO | Resource event log saved: outputs\run\resource_event_log.csv
2026-03-06 15:32:58,653 | INFO | Resource transitions saved: outputs\run\resource_transitions.csv
2026-03-06 15:32:58,654 | INFO | Computing social network metrics...
2026-03-06 16:30:06,335 | INFO | Starting Assignment 02 - Event Log Process Mining
2026-03-06 16:30:06,336 | INFO | Loading event log...
2026-03-06 16:30:07,042 | INFO | Dataset loaded: (180000, 14)
2026-03-06 16:30:07,042 | INFO | Building process graph...
2026-03-06 16:30:14,987 | INFO | Starting Assignment 02 - Event Log Process Mining
2026-03-06 16:30:14,988 | INFO | Loading event log...
2026-03-06 16:30:15,701 | INFO | Dataset loaded: (180000, 14)
2026-03-06 16:30:15,701 | INFO | Building process graph...
2026-03-06 16:30:19,154 | INFO | Graph nodes: 6
2026-03-06 16:30:19,154 | INFO | Graph edges: 20
2026-03-06 16:30:19,154 | INFO | Computing process metrics...
2026-03-06 16:30:19,403 | INFO | Metrics saved: outputs\run\process_metrics.csv
2026-03-06 16:30:19,567 | INFO | PageRank chart saved: outputs\run\activity_pagerank_chart.png
2026-03-06 16:30:19,567 | INFO | Exporting process transitions...
2026-03-06 16:30:19,569 | INFO | Transitions saved: outputs\run\process_transitions.csv
2026-03-06 16:30:19,569 | INFO | Computing top process traces...
2026-03-06 16:30:20,495 | INFO | Top traces saved: outputs\run\top_traces.csv
2026-03-06 16:30:20,495 | INFO | Most common trace: First Notification of Loss (FNOL) -> Assign Claim -> Claim Decision -> Set Reserve -> Payment Sent -> Close Claim
2026-03-06 16:30:20,495 | INFO | Trace frequency: 29265
2026-03-06 16:30:20,495 | INFO | Drawing process graph...
2026-03-06 16:30:21,438 | INFO | Process graph saved
2026-03-06 16:30:21,438 | INFO | Building handover social network...
2026-03-06 16:30:34,970 | INFO | Resource event log saved: outputs\run\resource_event_log.csv
2026-03-06 16:30:35,108 | INFO | Resource transitions saved: outputs\run\resource_transitions.csv
2026-03-06 16:30:35,108 | INFO | Computing social network metrics...
